brand_name,city,event_name_raw,start_date,end_date,registration_status,sold_out_flag,source_note
HYROX,Karlsruhe,HYROX KARLSRUHE,2026-10-01,2026-10-04,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Toronto,GOODLIFE HYROX TORONTO,2026-10-01,2026-10-04,Coming Soon,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Boston,HWPO HYROX BOSTON,2026-10-08,2026-10-11,Coming Soon,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Geneva,LETS GO FITNESS HYROX GENEVA,2026-10-09,2026-10-11,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Gdańsk,HYROX GDANSK,2026-10-10,2026-10-11,Coming Soon,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Valencia,HYROX VALENCIA,2026-10-16,2026-10-18,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,São Paulo,HYROX SAO PAULO 2,2026-10-17,2026-10-17,Scheduled,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Tampa,MYFITNESSPAL HYROX TAMPA,2026-10-23,2026-10-25,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Birmingham,HYROX BIRMINGHAM,2026-10-27,2026-11-01,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Hamburg,INTERSPORT HYROX HAMBURG,2026-10-28,2026-11-01,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Nice,TRAINSWEATEAT HYROX NICE 2,2026-10-29,2026-11-01,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Mexico City,HYROX MEXICO CITY,2026-10-30,2026-11-01,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Shanghai,HYROX SHANGHAI 2,2026-10-31,2026-11-01,Scheduled,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Dublin,HYROX DUBLIN,2026-11-11,2026-11-15,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Düsseldorf,EDEKA HYROX DUSSELDORF,2026-11-11,2026-11-15,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Barcelona,LEAPMOTOR HYROX BARCELONA 2,2026-11-12,2026-11-15,Scheduled,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Denver,HYROX DENVER,2026-11-12,2026-11-15,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Seoul,AIRASIA HYROX SEOUL,2026-11-14,2026-11-15,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Cairo,HYROX CAIRO,2026-11-14,2026-11-15,Scheduled,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Dallas,HYROX DALLAS,2026-11-18,2026-11-22,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Poznań,HYROX POZNAN,2026-11-20,2026-11-22,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Guangzhou,HYROX GUANGZHOU,2026-11-21,2026-11-22,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Rio de Janeiro,HYROX RIO DE JANEIRO,2026-11-21,2026-11-21,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Utrecht,HYROX UTRECHT,2026-11-26,2026-11-29,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Johannesburg,VIRGIN ACTIVE HYROX JOHANNESBURG 2,2026-11-28,2026-11-29,Scheduled,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,London,HYROX LONDON EXCEL,2026-12-02,2026-12-06,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Anaheim,CENTR HYROX ANAHEIM,2026-12-04,2026-12-06,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Milan,HYROX MILAN,2026-12-05,2026-12-06,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Sanya,247 FITNESS HYROX SANYA,2026-12-05,2026-12-06,Scheduled,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Frankfurt,FITNESS FIRST HYROX FRANKFURT,2026-12-10,2026-12-13,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Nashville,HYROX NASHVILLE,2026-12-10,2026-12-13,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Stockholm,INTERSPORT HYROX STOCKHOLM 2,2026-12-10,2026-12-13,Scheduled,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Kuala Lumpur,AIRASIA HYROX KUALA LUMPUR,2026-12-11,2026-12-13,Scheduled,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Paris,FITNESS PARK HYROX PARIS,2026-12-12,2026-12-20,Scheduled,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Melbourne,BYD HYROX MELBOURNE,2026-12-09,2026-12-13,Scheduled,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Gent,HYROX GENT,2026-12-17,2026-12-20,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Helsinki,HYROX HELSINKI 2,2026-12-18,2026-12-20,Scheduled,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
HYROX,Vancouver,HYROX VANCOUVER,2026-12-18,2026-12-20,Not Yet Announced,False,"gowod.app full-season calendar, retrieved via Claude web_fetch"
